number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
56,0.3114754098360656,2025-07-12 12:57:36.303312,2025-07-12 12:57:39.995849,0 days 00:00:03.692537,16,0.49679517692722985,4.1793603038747326e-05,1.2089704806119445e-05,PRUNED
57,0.3751205400192864,2025-07-12 12:57:40.012028,2025-07-12 12:57:50.741441,0 days 00:00:10.729413,64,0.3682062903955708,0.003918618911072909,4.217712995376471e-06,PRUNED
58,0.4262295081967213,2025-07-12 12:57:50.760816,2025-07-12 12:58:09.029666,0 days 00:00:18.268850,16,0.1510549831517909,0.001070480856269516,0.004790528431271973,PRUNED
59,0.3500482160077146,2025-07-12 12:58:09.046891,2025-07-12 12:58:19.788091,0 days 00:00:10.741200,32,0.43678327144705364,0.005375965075986301,0.0009561961201419404,PRUNED
60,0.313404050144648,2025-07-12 12:58:19.806334,2025-07-12 12:58:23.532965,0 days 00:00:03.726631,16,0.25316331860208097,0.0033970723871158686,1.5694133530209262e-06,PRUNED
61,0.5756991321118612,2025-07-12 12:58:23.589940,2025-07-12 13:01:26.142650,0 days 00:03:02.552710,16,0.2705774759733334,0.0023018202443865874,1.4278536174536083e-06,COMPLETE
62,0.36644165863066536,2025-07-12 13:01:26.167442,2025-07-12 13:01:33.484822,0 days 00:00:07.317380,16,0.11423759985149247,0.002408156460756495,2.488009550139075e-06,PRUNED
63,0.5718418514946962,2025-07-12 13:01:33.502922,2025-07-12 13:04:36.166408,0 days 00:03:02.663486,16,0.23116059725646265,0.0017549978048530229,1.3692653878201137e-06,COMPLETE
64,0.3105110896817743,2025-07-12 13:04:36.191287,2025-07-12 13:04:39.959168,0 days 00:00:03.767881,16,0.13036947701878118,0.007389352857267823,3.2389815133458092e-06,PRUNED
65,0.36065573770491804,2025-07-12 13:04:39.976301,2025-07-12 13:04:47.307206,0 days 00:00:07.330905,16,0.3903010373367447,0.0012491413419162848,1.8456175196368474e-05,PRUNED
66,0.3394406943105111,2025-07-12 13:04:47.349941,2025-07-12 13:04:51.113284,0 days 00:00:03.763343,16,0.34773848433322263,0.000779762992904063,2.1663967780777137e-06,PRUNED
67,0.3857280617164899,2025-07-12 13:04:51.134622,2025-07-12 13:05:02.138325,0 days 00:00:11.003703,16,0.27594771447576627,0.005150984657248919,1.3670855264811116e-06,PRUNED
68,0.33751205400192863,2025-07-12 13:05:02.160385,2025-07-12 13:05:05.938396,0 days 00:00:03.778011,16,0.480812471615402,0.0023306387342188085,3.679121277427521e-05,PRUNED
69,0.32208293153326906,2025-07-12 13:05:05.955233,2025-07-12 13:05:09.652947,0 days 00:00:03.697714,16,0.2110883139797481,0.0005733166238776123,3.988935783940097e-06,PRUNED
70,0.4059787849566056,2025-07-12 13:05:09.670264,2025-07-12 13:05:28.001014,0 days 00:00:18.330750,16,0.17207652764957407,0.0033810234204916033,7.885126751057897e-06,PRUNED
71,0.3394406943105111,2025-07-12 13:05:28.046024,2025-07-12 13:05:31.750548,0 days 00:00:03.704524,16,0.2982971742873084,0.0016146284308751911,1.4343502621156683e-06,PRUNED
72,0.32208293153326906,2025-07-12 13:05:31.768429,2025-07-12 13:05:35.470228,0 days 00:00:03.701799,16,0.22638954658088992,0.001700911093901521,1.1443040046042844e-06,PRUNED
73,0.3124397299903568,2025-07-12 13:05:35.488478,2025-07-12 13:05:39.244651,0 days 00:00:03.756173,16,0.2631156972416387,0.002135205954797719,2.7077764195272164e-06,PRUNED
74,0.30665380906460943,2025-07-12 13:05:39.266987,2025-07-12 13:05:43.011267,0 days 00:00:03.744280,16,0.2364633233523319,0.002999934172517977,1.8380068803150003e-06,PRUNED
75,0.6075216972034716,2025-07-12 13:05:43.029084,2025-07-12 13:08:45.777765,0 days 00:03:02.748681,16,0.10954031672781599,0.0044328385489627,1.0003615073729024e-06,COMPLETE
76,0.3124397299903568,2025-07-12 13:08:45.832407,2025-07-12 13:08:49.440955,0 days 00:00:03.608548,64,0.11349929466183087,0.004513258771340437,1.0075018423356872e-06,PRUNED
